"","np","dist","gamma","dir.hor","dir.ver","id"
"1",718,9292.58878471339,0.00510839637549061,0,0,"WL.SIM_WL"
"2",2119,21226.0812332481,0.00723215875707235,0,0,"WL.SIM_WL"
"3",3246,34592.5233664412,0.010842265402463,0,0,"WL.SIM_WL"
"4",4195,48217.8716753655,0.014298487468899,0,0,"WL.SIM_WL"
"5",5104,61851.2494000121,0.0179552812942544,0,0,"WL.SIM_WL"
"6",5813,75596.403676002,0.0217011106078759,0,0,"WL.SIM_WL"
"7",6525,89362.3939870028,0.0246862534179392,0,0,"WL.SIM_WL"
"8",7325,103005.860043366,0.02754343077103,0,0,"WL.SIM_WL"
"9",7558,116597.988625157,0.0317125477210327,0,0,"WL.SIM_WL"
"10",7837,130327.25454172,0.0334420582973636,0,0,"WL.SIM_WL"
"11",7670,144113.753132676,0.0376762197533263,0,0,"WL.SIM_WL"
"12",7790,157814.081597925,0.0415004083244283,0,0,"WL.SIM_WL"
"13",7680,171408.103103194,0.043456754761214,0,0,"WL.SIM_WL"
"14",7647,185122.561670358,0.0493609989221899,0,0,"WL.SIM_WL"
"15",7342,198759.47361025,0.0554712159315438,0,0,"WL.SIM_WL"
"16",1865,9140.82933532044,0.00113174513640202,0,0,"SIM_WL"
"17",5125,21303.6907515938,0.00389621228131856,0,0,"SIM_WL"
"18",7983,34734.528066273,0.00720654863473029,0,0,"SIM_WL"
"19",10528,48309.7736324813,0.011071937234225,0,0,"SIM_WL"
"20",12463,61915.0978026684,0.0151290527435087,0,0,"SIM_WL"
"21",14693,75540.1967208707,0.0185485879219496,0,0,"SIM_WL"
"22",16351,89248.0136954919,0.0223252459782177,0,0,"SIM_WL"
"23",17556,102954.996769438,0.0255401983205698,0,0,"SIM_WL"
"24",17992,116566.96965686,0.0285473552533267,0,0,"SIM_WL"
"25",18290,130287.730621961,0.0322961670208537,0,0,"SIM_WL"
"26",18538,144028.133517055,0.0354868385728483,0,0,"SIM_WL"
"27",18249,157676.339022391,0.0394853013976549,0,0,"SIM_WL"
"28",18023,171510.251189189,0.0426582851192025,0,0,"SIM_WL"
"29",17339,185162.630610249,0.0459640633149664,0,0,"SIM_WL"
"30",16620,198794.030887237,0.0492711247417709,0,0,"SIM_WL"
"31",201,6801.7482084528,0.00269567217315402,0,0,"WL"
"32",287,18018.1512416058,0.00779623095930837,0,0,"WL"
"33",291,30539.9163323025,0.0156667645717952,0,0,"WL"
"34",390,42739.7425590431,0.0158420700049572,0,0,"WL"
"35",450,53901.0785215727,0.0177804066916129,0,0,"WL"
"36",504,66011.9471769107,0.0185424803709809,0,0,"WL"
"37",557,77819.944271095,0.0273513178685274,0,0,"WL"
"38",620,89907.7460163944,0.0270472855514024,0,0,"WL"
"39",622,102136.882434531,0.0298984150768601,0,0,"WL"
"40",789,113802.263870735,0.0306345247513126,0,0,"WL"
"41",740,125779.218148801,0.0347635857916795,0,0,"WL"
"42",807,137591.066790192,0.0400174601079998,0,0,"WL"
"43",729,149460.484478777,0.0481030343953686,0,0,"WL"
"44",617,161459.628748025,0.0529426605810935,0,0,"WL"
"45",657,173743.26755939,0.0532279248690521,0,0,"WL"
